PackageID,name,description,Returnable,Rate
35,BOX,OIL,0,0:00 
36,SHEGDI BAG,SHEGDI,0,0:00 
37,PATTA BANDAL,,0,0:00 
38,SPEAR PART BOX,,0,0:00 
39,PESTISIDE BOX,,0,0:00 
40,SHETI BOX,,0,0:00 
41,NUT BOLT BAG,,0,0:00 
42,SANMIKE ROLL,,0,0:00 
43,AGARBATTI BOX,,0,0:00 
44,PAPER BOX,,0,0:00 
45,AXEL 90 M.M,,0,0:00 
46,DISC,,0,0:00 
47,SHETI BAG,,0,0:00 
48,VACSINE BOX,,0,0:00 
49,PLASTIC ROLL,,0,0:00 
50,KAGAD ROLL,,0,0:00 
51,PLYWOOD PISCES,,0,0:00 
52,PUMP PETI 5.0 HP,,0,0:00 
53,PUMP ROLL,,0,0:00 
54,PUMP MOTAR 7.5 HP,,0,0:00 
55,BUMPER BANDAL,,0,0:00 
56,CHAKKI BOX,,0,0:00 
57,JACK,,0,0:00 
58,PIPE BUNDAL,,0,0:00 
59,SINGEL PIPE,,0,0:00 
60,GOAL PIPE BUNDAL,,0,0:00 
61,DARVAJA BUNDAL,,0,0:00 
62,10.00-20 TYRE,TYRE,0,0:00 
63,8.25-20 TYRE,,0,0:00 
64,8.25-16 TYRE,,0,0:00 
65,9.00-16 TYRE,,0,0:00 
66,FLEX ROLL,,0,0:00 
67,PUMP BOX,,0,0:00 
68,BAG BUNDAL,,0,0:00 
69,KAPAD GATH,,0,0:00 
70,7.00R15 TYRE,,0,0:00 
71,6.00-16 TYRE,,0,0:00 
72,COMPUTER BOX,,0,0:00 
73,BARAL,,0,0:00 
74,DRUM OIL,,0,0:00 
75,OIL BUCKET,OIL,0,0:00 
76,COLOUR BUCKET,COLOUR,0,0:00 
77,COLOUR BAG,,0,0:00 
78,14.9-28 TYRE,,0,0:00 
79,13.6-28 TYRE,,0,0:00 
80,16.9-28 TYRE,,0,0:00 
81,9.00-20 TYRE,TYRE,0,0:00 
82,BATTERY BOX,,0,0:00 
83,TUBE BAG,,0,0:00 
84,THIBAK BUNDAL,,0,0:00 
85,WALL POCKET,,0,0:00 
86,195/80R15 TYRE,,0,0:00 
87,3.00-18 TYRE,,0,0:00 
88,2.75-18 TYRE,,0,0:00 
89,145/80R12 TYRE,,0,0:00 
90,BIG BOX,,0,0:00 
91,SMALL BOX,,0,0:00 
92,145/R12 TYRE,,0,0:00 
93,195/80D15 TYRE,,0,0:00 
94,165/65R14 TYRE,,0,0:00 
95,145/70R12 TYRE,,0,0:00 
96,185/R14 TYRE,,0,0:00 
97,155/80D12 TYRE,,0,0:00 
98,175/65R14 TYRE,,0,0:00 
99,165/65R13 TYRE,,0,0:00 
100,175/70R14 TYRE,,0,0:00 
101,205/65R15 TYRE,,0,0:00 
102,155/70R13 TYRE,,0,0:00 
103,4.50-10 TYRE,,0,0:00 
104,7.50-16 TYRE,,0,0:00 
105,235/75R17 TYRE,,0,0:00 
106,7.00-16 TYRE,,0,0:00 
107,165/80D13 TYRE,,0,0:00 
108,215/75R15 TYRE,,0,0:00 
109,215/75R16 TYRE,,0,0:00 
110,185/65R15 TYRE,,0,0:00 
111,155R13 TYRE,,0,0:00 
112,185/70R14 TYRE,,0,0:00 
113,185/85R16 TYRE,,0,0:00 
114,11.00-20 TYRE,,0,0:00 
115,AXEL 80 M.M,,0,0:00 
116,AXEL 75 M.M,,0,0:00 
117,AXEL 50 M.M,,0,0:00 
118,HOOD BUNDAL,,0,0:00 
119, HALF,,0,0:00 
120,PUMP PETI 3.0 HP,,0,0:00 
121,PUMP PETI 7.5 HP,,0,0:00 
122,PUMP PETI 10.0 HP,,0,0:00 
123,PUMP PETI 12.5 HP,,0,0:00 
124,PUMP PETI 15.0 HP,,0,0:00 
125,PUMP PETI 20.0 HP,,0,0:00 
126,PUMP PETI 25.0 HP,,0,0:00 
127,PUMP MOTAR 3.0 HP,,0,0:00 
128,PUMP MOTAR 5.0 HP,,0,0:00 
129,TYRE BUNDAL,,0,0:00 
130,8.00-18 TYRE,,0,0:00 
131,COPPER BOX,,0,0:00 
132,P.U.C BOX,,0,0:00 
133,ELECTRICAL BOX,,0,0:00 
134,P.U.C GONI,,0,0:00 
135,PAPER ROLL,,0,0:00 
136,RUBBER BUNDAL,,0,0:00 
137,MEDICINE BOX,,,
138,TILES BOX,,0,0:00 
139,SHIT BUNDAL,,,
140,PEN BOX,PEN,0,0:00 
141,FEVICOL DRUM,FEVICOL,0,0:00 
142,COOKER BOX,COOKER BOX,0,0:00 
143,TUBE BUCKET,TUBE BUCKET,0,0:00 
144,TUBE BOX,TUBE BOX
,0,0:00 
145,STAND,STAND
,0,0:00 
146,PARSAL,PARSAL,0,0:00 
147,5.20-14 TYRE,TYRE,0,0:00 
148,BAG,,,
149,Abc,Abc,0,0:00 
150,CAR TYRE,TYRE,0,0:00 
151,COLOUR BOX,COLOUR,0,0:00 
152,SHEGDI BOX,SHEGDI,0,0:00 
153,GONI,GONI,0,0:00 
154,OIL BOX,OIL,0,0:00 
155,SPEAR PART LOSE,SPEAR PART,0,0:00 
156,10.,,,
157,185/60 R15,TYRE,0,0:00 
158,6.5016 TYRE,TYRE,0,0:00 
1158,PAPER BUNDAL,,,
1159,10 FIT PATTI BUNDAL,,,
1160,JODI PIPE,PIPE,0,0:00 
1161,195/70R15,,,
1162,12.4-28 TYRE,TYRE,0,0:00 
1163,CABEL BUNDAL,,,
1164,COLOUR DRUM,COLOUR,0,0:00 
1165,RIM,,,
1166,PIPE ,,,
1167,GONI BUNDAL,,,
1168,CAN,,0,0:00 
1169,DRUM,,0,0:00 
1170,18.4-30 TYRE,TYRE,0,0:00 
