CustomerID,name,address,DoubleLR,PlaceID,telephone,email,vendorCode,fax,eccNo,vatNo,cstNo,OpeningBalance,OpeningBalType,OpeningBalDate,ClosingBalance,ClosingBalType,ClosingBalDate,gstNo
103,MAHARASHTRA PAPER COMPANY,URALI,0,305,9423033753,,,,,,,0.00,1,,0.00,1,,
104,ABC OFFSETS ,BARAMATI,0,372,9325699991,,,,,,,0.00,1,2017-07-19 17:10:16.187,0.00,1,2017-07-19 17:10:16.187,
105,INDIAN IMMUNOLOGICALS LIMITED,WADKI,0,305,8888877293,Punecf@indimmune.com,,,,,,0.00,1,2020-09-22 15:03:36.503,108250.00,1,2023-10-05 14:14:20.000,
106,SHREE SIDDHIVINAYAK MEDICO,BARAMATI,0,372,9623137646,,,,,,,0.00,1,2019-04-02 20:07:49.920,0.00,1,2019-04-02 20:07:49.920,27AXRPK5755E1Z1
107,MACLEODS PHARMACEUTICALS LTD,PUNE,0,305,8888996786,,,,,,,0.00,1,2019-03-16 16:37:55.907,7640.00,1,2019-06-10 13:54:48.000,27AAACM4100C1Z9
108,A C DOSHI,BARAMATI,0,372,9850513014,,,,,,,0.00,1,2019-04-09 17:00:00.217,0.00,1,2019-04-09 17:00:00.217,27ABAPD8949G1ZK
109,AUSTIN HEALTH CARE,PUNE,0,305,02026890381,,,,,,,0.00,1,,0.00,1,,
110,VIGHNAHARTA MED AND AGENCIES,INDAPUR,0,381,,,,,,,,0.00,1,2019-07-11 19:03:51.430,190.00,1,2019-07-11 19:03:51.430,
111,PROVIMI ANIMAL NUTRITION INDIA PVT.LTD.,PUNE,0,305,9371025721,,,,,,,0.00,1,2019-03-15 18:19:38.660,6830.00,2,2023-10-07 17:41:39.000,27AAACT4909N1ZY
112,KUMAR MEDICALS,AKLUJ,0,389,9822249220,,,,,,,0.00,1,2019-04-03 18:20:46.000,0.00,1,2019-04-03 18:20:46.000,27ABPPG4373C1ZO
113,SAR DISTRIBUTION HOUSE PVT LTD,PUNE,0,305,,,,,,,,0.00,1,2019-03-15 18:23:08.840,0.00,2,2023-10-05 17:57:09.000,27AAQCS1955B1ZF
114,TYRE HOUSE.,SHRIGONDA,0,400,9226419425,,,,,,,0.00,1,2019-06-22 19:41:59.490,560.00,1,2019-06-22 19:41:59.490,27AACFT8002B1ZN
115,IPCA  LABORATORIES LIMITED,PUNE,0,305,,,,,,,,0.00,1,,0.00,1,,
116,MAHAVEER AGENCIES,BARAMATI,0,372,,,,,,,,0.00,1,,0.00,1,,
117,FRANCO INDIAN PHARMACEUTICALS PVT LTD,PUNE,0,305,,,,,,,,0.00,1,2019-03-16 12:46:24.883,2356.00,2,2019-08-05 17:19:19.000,27AAACF1794M1Z9
118,VORA MEDICALS,PANDHARPURE,0,394,02186224455,,,,,,,0.00,1,,0.00,1,,
119,PHARMACEUTICAL DISTRIBUTORS,PUNR,0,305,02024487775,,,,,,,0.00,1,,0.00,1,,
120,JITENDRA MEDICAL ,LONAND,0,376,9850504364,,,,,,,0.00,1,,0.00,1,,
121,NAVANDAR LOGISTICS,PUNE,0,305,,,,,,,,0.00,1,2019-10-12 00:03:58.897,23212.00,1,2019-12-03 14:58:17.000,27AALFN6565C1Z2
122,SHRIJI AGENCIES.,LONAND,0,376,9890602860,,,,,,,0.00,1,2019-06-19 18:21:32.000,0.00,1,2019-06-19 18:21:32.000,
123,PIDILITE INDUSTRIES LIMITED,PUNE,0,305,,,,,,,,0.00,1,2017-08-01 13:53:18.160,0.00,1,2017-08-01 13:53:18.160,
124,ALEKAR ENTERPRISES,KARKAMBH,0,428,,,,,,,,0.00,1,2017-08-01 13:51:44.067,0.00,1,2017-08-01 13:51:44.067,
125,SHREE SPARES,PUNE,0,305,,,,,,,,0.00,1,,0.00,1,,
126,ARVE AUTO SPARES,PANDHARPURE,0,394,9421718555,,,,,,,0.00,1,2017-07-19 18:59:56.397,0.00,1,2017-07-19 18:59:56.397,
127,KAKADE AUTO SPARES,PUNE,0,305,07719849393,,,,,,,0.00,1,2023-03-21 15:27:52.620,0.00,1,2023-03-21 15:27:52.620,27AAZFK8264F1ZL
128,SHREE YASH AUTOMOBILES,TEMBHURNI,0,378,9881288219,,,,,,,0.00,1,,0.00,1,,
129,VORA AUTO SPARES,BARAMATI,0,372,9423584175,,,,,,,0.00,1,,0.00,1,,
130,CONTINENTAL INDIA PVT.LTD C/O DHANASHREE ENT,WADKI,0,305,,,,,,,,0.00,1,2021-08-18 18:36:20.793,60072.00,1,2023-10-05 16:39:54.000,27AAFCM5366B1ZK
131,H.R ASSOCIATES,SOLAPUR,0,371,,,,,,,,0.00,1,,0.00,1,,
132,SHRI SAI ENTERPRISES,PHURSUNGI,0,305,8380005105,,,,,,,0.00,1,2019-03-16 12:17:26.407,202.81,1,2020-07-03 13:28:13.000,27AAEFM3658C1ZE
133,VED MEDICO,BARAMATI,0,372,,,,,,,,0.00,1,,0.00,1,,
134,PRAKSHCHANDRA MEDICAL,PHALTAN,0,373,,,,,,,,0.00,1,2017-08-01 13:56:21.000,0.00,1,2017-08-01 13:56:21.000,
135,TULJABHAVANI TRADING CO,BARAMATI,0,372,,,,,,,,0.00,1,,0.00,1,,
136,SAIRAM TYRES,PHURSUNGI,0,305,,,,,,,,0.00,1,,0.00,1,,
137,GOURI TYRES,KOLKI,0,373,9970891634,,,,,,,0.00,1,2017-08-01 13:52:30.017,0.00,1,2017-08-01 13:52:30.017,
138,GANDHI HARDWEAR,SANGAVI,0,429,,,,,,,,0.00,1,2017-08-01 13:52:13.517,0.00,1,2017-08-01 13:52:13.517,
