PlaceID,abbreviation,name
305,PUN,PUNE
370,WAGHOLI,WAGHOLI
371,SOLAPUR,SOLAPUR
372,BARAMATI,BARAMATI
373,PHALTAN,PHALTAN
374,SASWAD,SASWAD
375,JEJURI,JEJURI
376,LONAND,LONAND
377,NIRA,NIRA
378,TEMBHURNI,TEMBHURNI
379,MALSHIRASH,MALSHIRASH
380,MANDKI,MANDKI
381,INDAPUR,INDAPUR
382,KARJAT,KARJAT
383,KEDGAON,KEDGAON
384,LONI KALBHOR,LONI KALBHOR
385,LASURNE,LASURNE
386,SAKURDE,SAKURDE
387,YAVAT,YAVAT
388,BHIGWAN,BHIGWAN
389,AKLUJ,AKLUJ
390,SANGOLA,SANGOLA
391,NIMBUT,NIMBUT
392,NATEPUTE,NATEPUTE
393,MANGALWEDHA,MANGALWEDHA
394,PANDHARPUR,PANDHARPUR
395,MODNIMB,MODNIMB
396,MOHAL,MOHAL
397,WALCHAND NAGAR,WALCHAND NAGAR
398,KONDI,KONDI
399,TARADGAON,TARADGAON
400,SHRIGONDA,SHRIGONDA
401,JEUR,JEUR
402,KARMALA,KARMALA
403,BORI PARDHI,BORI PARDHI
404,CHAUPHULA,CHAUPHULA
405,PATAS,PATAS
406,RASHIN,RASHIN
407,JUNONI,JUNONI
408,KHUTBAV,KHUTBAV
409,GULUNCHE,GULUNCHE
410,DAUND,DAUND
411,SHEWALWADI,SHEWALWADI
412,VARVAND,VARVAND
413,BHAVANI NAGAR,BHAVANI NAGAR
414,PANDARE,PANDARE
415,JAVLA,JAVLA
416,VANEWADI,VANEWADI
417,SUPALI,SUPALI
418,SAKHARWADI,SAKHARWADI
419,SHEVATE,SHEVATE
420,GHERDI,GHERDI
421,ANDHALGAON,ANDHALGAON
422,MEKHALI,MEKHALI
423,DALAJ NO.2,DALAJ NO.2
424,TONDALE,TONDALE
425,V NIMBALKAR,V NIMBALKAR
426,BORGAON,BORGAON
427,SANSAR,SANSAR
428,KARKAMBH,KARKAMBH
429,SANGAVI,SANGAVI
431,BHOR,BHOR
432,URULI KANCHAN,URULI KANCHAN
433,KASURDI,KASURDI
434,KASHTI,KASHTI
435,NIMGAON KETKI,NIMGAON KETKI
436,MALEGOAN,MALEGAON
437,,MORGOAN
438,SADASHIV,SADASHIV NAGAR
439,SOMESHWAR NAGAR,SOMESHWAR NAGAR
440,KURKUMBH,KURKUMBH
