rateMasterId,customerName,article,description,rate,stationName,ddCharges,customer,station,createdBy
1,APOLLO TYRES LTD,10.00-20 TYRE,,95,BARAMATI,,UNKNOWN,UNKNOWN,System
2,APOLLO TYRES LTD,11.00-20 TYRE,,95,BARAMATI,,UNKNOWN,UNKNOWN,System
3,APOLLO TYRES LTD,13.6-28 TYRE,,198,BARAMATI,,UNKNOWN,UNKNOWN,System
4,APOLLO TYRES LTD,14.9-28 TYRE,,198,BARAMATI,,UNKNOWN,UNKNOWN,System
5,APOLLO TYRES LTD,145/70R12 TYRE,,40,BARAMATI,,UNKNOWN,UNKNOWN,System
6,APOLLO TYRES LTD,145/80R12 TYRE,,40,BARAMATI,,UNKNOWN,UNKNOWN,System
7,APOLLO TYRES LTD,145/R12 TYRE,,40,BARAMATI,,UNKNOWN,UNKNOWN,System
8,APOLLO TYRES LTD,155/70R13 TYRE,,40,BARAMATI,,UNKNOWN,UNKNOWN,System
9,APOLLO TYRES LTD,155/80D12 TYRE,,40,BARAMATI,,UNKNOWN,UNKNOWN,System
10,APOLLO TYRES LTD,155R13 TYRE,,40,BARAMATI,,UNKNOWN,UNKNOWN,System
11,APOLLO TYRES LTD,165/65R13 TYRE,,40,BARAMATI,,UNKNOWN,UNKNOWN,System
12,APOLLO TYRES LTD,165/65R14 TYRE,,40,BARAMATI,,UNKNOWN,UNKNOWN,System
13,AVIOR MARKETING ,PEN BOX,,80,MANGALWEDHA,,UNKNOWN,UNKNOWN,System
14,AVIOR MARKETING ,PEN BOX,,80,AKLUJ,,UNKNOWN,UNKNOWN,System
15,AVIOR MARKETING ,PEN BOX,,80,PHALTAN,,UNKNOWN,UNKNOWN,System
16,AVIOR MARKETING ,PEN BOX,,80,BARAMATI,,UNKNOWN,UNKNOWN,System
17,AVIOR MARKETING ,PEN BOX,,80,TEMBHURNI,,UNKNOWN,UNKNOWN,System
18,AVIOR MARKETING ,PEN BOX,,80,LONAND,,UNKNOWN,UNKNOWN,System
19,AVIOR MARKETING ,PEN BOX,,80,SANGOLA,,UNKNOWN,UNKNOWN,System
20,AVIOR MARKETING ,PEN BOX,,80,SADASHIV NAGAR,,UNKNOWN,UNKNOWN,System
21,RAJ SALES CORPORATION,FEVICOL DRUM,,1.25,INDAPUR,,UNKNOWN,UNKNOWN,System
22,RAJ SALES CORPORATION,FEVICOL DRUM,,1.25,CHAUPHULA,,UNKNOWN,UNKNOWN,System
23,RAJ SALES CORPORATION,FEVICOL DRUM,,1.25,LONI,,UNKNOWN,UNKNOWN,System
