owner,vehicleType,vehicleNo,make,capacity,regDate,chassisNo,engineNo,createdBy
UNKNOWN,UNKNOWN,MH-16.AY-7991,SFC 407 TURBO,2200 KG,NULL,MAT455221G8417016,497SP67GTY624197,System
UNKNOWN,UNKNOWN,MH-42 B-8950,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH42 B-7538,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH42B8640,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH42T0944,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH42B8950,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH42B8127,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH42T0114,,,NULL,,,System
UNKNOWN,UNKNOWN,MH12PQ1378,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH12NX2571,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH04BG3555,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH12QA6207,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH42M5824,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,5744,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH16CC4112,,1.5,NULL,,,System
UNKNOWN,UNKNOWN,MH12PQ7583,,,NULL,,,System
UNKNOWN,UNKNOWN,MH42M5613,,,NULL,,,System
UNKNOWN,UNKNOWN,296,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH45D5596,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH42N8805 ,,,NULL,,,System
UNKNOWN,UNKNOWN,MH 42 B 9608,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH42M8805,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH12GT4023,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH-42 B-8950.,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH42K7271,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH42AY7991,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH42B8972,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH11AL6467,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH.42.AQ.9972,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH12NX8572,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH13AX3850,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH16AY7991,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH12HD1959,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH11AN6467,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,988/929/990,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH.12.HD.1959,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH12RN6003,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH42AQ4405,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH13AY3741,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH12GT5386,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH20PT7625,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH12BG0769,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH42B7538,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH42AQ1668.,,1,NULL,,,System
UNKNOWN,UNKNOWN,MH12MV0853,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH12EG9206,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH45AF1361,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH.24.AU.4264,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH24AU4264,,1.5,NULL,,,System
UNKNOWN,UNKNOWN,MH13CU4257,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH12DG0769,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH12DG0464,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH13AX4089,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH42B9776,NULL,NULL,NULL,NULL,NULL,System
